Election Year,Expert ID,State,Sex,Age Range,Politician,Candidate,Activist,Monitor,Election Official,Voter,Citizen,Political Scale,Candidate Supported,Perceptions of Electoral Integrity Index,State Electoral Integrity,National Electoral Integrity,Laws Discriminated,Laws Favored Incumbent,Laws Restricted Citizen Rights,Electoral Laws Index,Election Managed Well,Voting Information Available,Election Officials Fair,Election Followed Law,Election Procedures Index,Boundaries Discriminated,Boundaries Favored Incumbent,Boundaries Impartial,Voting District Boundaries Index,Citizens Not Found in Register,Register Inaccurate,Ineligible Voters Registered,Voter Registration Index,Opposition Prevented,Women Provided Opportunity,Leaders Selected Candidates,Campaign Rallies Restricted,Party/Candidate Registration Index,Newspapers Balanced,Television Favored Incumbent,Media Access Fair,Media Coverage Fair,Social Media Exposed Fraud,Media Coverage Index,Subsidy Access Fair,Donation Access Fair,Campaign Accounts Transparent,Elections Bought by Rich,Resources Improperly Used,Campaign Finance Index,Voters Threatened with Violence,Fradulent Votes Cast,Voting Process Easy,Choice of Candidates,Postal Ballots Available,Disabled Provided Access,Expatriates Able to Vote,Internet Ballots Available,Voting Process Index,Ballot Boxes Secure,Results Announced Without Delay,Vote Count Fair,International Monitors Restricted,Domestic Monitors Restricted,Vote Count Index,Results Challenged,Protests Peaceful,Protests Violent,Dispute Resolved in Courts,Election Results Index,Authorities Impartial,Information Distributed,Authorities Scrutinized,Authorities Performed Well,Electoral Authorities Index,Election Rigged,Deadlines Restrictive,Voters Waited,Voters Intimidated,Multiple Ballots Cast,Machines Accurate,Records Secure,Votes Counted Quickly,Outcome Reflected Popular Will
2016,1,Alabama,Male,50-59,,,,,,1,1,3,Clinton,55.48,5,7,Agree,Agree,Agree,25,Disagree,Agree,Agree,Don't Know,64.69,Strongly Agree,Agree,Disagree,16.67,Don't Know,Don't Know,Don't Know,52.08,Agree,Neither Agree Nor Disagree,Disagree,Disagree,50,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,50,Not Applicable,Agree,Agree,Disagree,Agree,60.75,Don't Know,Don't Know,Neither Agree Nor Disagree,Disagree,Not Applicable,Agree,Don't Know,Not Applicable,60,Don't Know,Agree,Agree,Don't Know,Don't Know,73.5,Disagree,Agree,Disagree,Don't Know,63.13,Agree,Neither Agree Nor Disagree,Agree,Agree,68.75,Disagree,Disagree,Strongly Agree,Don't Know,Don't Know,Agree,Don't Know,Agree,Disagree
2016,2,Alabama,Male,60-69,,,,,,1,1,2,Clinton,49.36,7,5,Strongly Agree,Strongly Agree,Agree,8.33,Agree,Agree,Neither Agree Nor Disagree,Agree,68.75,Strongly Agree,Strongly Agree,Strongly Disagree,0,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,16.67,Agree,Agree,Disagree,Disagree,65,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,55,Disagree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,25,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Not Applicable,54.22,Don't Know,Agree,Agree,Don't Know,Don't Know,77,Strongly Disagree,Agree,Strongly Disagree,Don't Know,75,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,56.25,Strongly Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Don't Know,Agree,Agree
2016,3,Alabama,Male,60-69,,,,,,1,1,5,Stein,53.49,7,6,Strongly Agree,Strongly Agree,Agree,8.33,Agree,Strongly Agree,Agree,Strongly Agree,87.5,Agree,Strongly Agree,Disagree,16.67,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Agree,Strongly Agree,Don't Know,48.5,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,45,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,40,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Don't Know,Agree,Agree,Don't Know,58.75,Don't Know,Agree,Don't Know,Don't Know,Don't Know,71.75,Disagree,Disagree,Disagree,Agree,75,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,62.5,Disagree,Disagree,Agree,Disagree,Don't Know,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree
2016,4,Alabama,Male,50-59,,,,,,1,1,3,Clinton,61.76,8,7,Agree,Agree,Neither Agree Nor Disagree,33.33,Agree,Agree,Agree,Agree,75,Agree,Strongly Agree,Disagree,16.67,Don't Know,Disagree,Disagree,62.08,Don't Know,Agree,Disagree,Disagree,73.25,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Don't Know,54.5,Don't Know,Agree,Agree,Neither Agree Nor Disagree,Don't Know,64.25,Don't Know,Don't Know,Agree,Agree,Neither Agree Nor Disagree,Agree,Don't Know,Strongly Disagree,64.06,Don't Know,Agree,Agree,Don't Know,Disagree,73.5,Disagree,Agree,Disagree,Agree,62.5,Agree,Agree,Agree,Agree,75,Disagree,Strongly Agree,Strongly Agree,Don't Know,Disagree,Agree,Agree,Agree,Strongly Disagree
2016,5,Alabama,Male,40-49,,,,,,,1,6,Clinton,66.43,8,7,Neither Agree Nor Disagree,Strongly Agree,Disagree,41.67,Strongly Agree,Agree,Strongly Agree,Strongly Agree,93.75,Don't Know,Agree,Agree,44.58,Don't Know,Don't Know,Don't Know,57.5,Don't Know,Neither Agree Nor Disagree,Don't Know,Don't Know,65.5,Disagree,Neither Agree Nor Disagree,Don't Know,Agree,Don't Know,51.25,Don't Know,Agree,Agree,Disagree,Don't Know,68,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Don't Know,Agree,Don't Know,67.5,Agree,Agree,Agree,Don't Know,Don't Know,76,Disagree,Disagree,Disagree,Don't Know,77.19,Agree,Agree,Don't Know,Agree,74.06,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree
2016,6,Alabama,Male,40-49,,,,,,1,1,3,Clinton,60.56,8,7,Agree,Agree,Agree,25,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Strongly Agree,Agree,Strongly Disagree,8.33,Don't Know,Don't Know,Don't Know,45.42,Don't Know,Neither Agree Nor Disagree,Don't Know,Don't Know,67.5,Agree,Agree,Disagree,Neither Agree Nor Disagree,Don't Know,42.5,Agree,Disagree,Agree,Strongly Agree,Don't Know,48.75,Disagree,Don't Know,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,66.72,Agree,Strongly Agree,Agree,Don't Know,Don't Know,82.5,Don't Know,Disagree,Disagree,Agree,72.81,Agree,Agree,Agree,Agree,75,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Disagree
2016,7,Alaska,Male,70-79,,,,,,1,1,2,Stein,52.3,8,4,Agree,Strongly Agree,Agree,16.67,Neither Agree Nor Disagree,Agree,Agree,Agree,68.75,Strongly Agree,Agree,Disagree,16.67,Don't Know,Don't Know,Disagree,62.5,Disagree,Agree,Neither Agree Nor Disagree,Disagree,70,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,55,Neither Agree Nor Disagree,Disagree,Agree,Agree,Agree,40,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,65.63,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Not Applicable,Disagree,60,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,50,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,37.5,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Don't Know,Disagree,Agree,Agree,Don't Know,Don't Know
2016,8,Alaska,Male,60-69,,,,,,1,1,7,Trump,72.47,9,8,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,83.33,Agree,Agree,Agree,Agree,75,Strongly Disagree,Neither Agree Nor Disagree,Agree,75,Don't Know,Don't Know,Don't Know,62.08,Disagree,Strongly Agree,Disagree,Disagree,85,Disagree,Strongly Disagree,Agree,Disagree,Don't Know,55,Not Applicable,Agree,Don't Know,Disagree,Disagree,65.5,Disagree,Don't Know,Agree,Strongly Agree,Not Applicable,Don't Know,Agree,Not Applicable,75.16,Agree,Agree,Agree,Don't Know,Don't Know,76,Disagree,Don't Know,Not Applicable,Not Applicable,70.31,Agree,Agree,Agree,Agree,75,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Don't Know,Agree,Agree,Strongly Agree,Strongly Agree
2016,9,Alaska,Male,50-59,,,,,,1,1,8,Stein,71.94,9,9,Agree,Disagree,Strongly Disagree,66.67,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,Disagree,Disagree,Neither Agree Nor Disagree,66.67,Don't Know,Don't Know,Don't Know,53.75,Disagree,Strongly Agree,Disagree,Disagree,85,Neither Agree Nor Disagree,Strongly Agree,Don't Know,Strongly Disagree,Don't Know,36,Don't Know,Don't Know,Don't Know,Agree,Don't Know,51.5,Strongly Disagree,Don't Know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Don't Know,81.88,Don't Know,Strongly Agree,Don't Know,Don't Know,Don't Know,78,Disagree,Disagree,Strongly Disagree,Strongly Agree,87.5,Don't Know,Agree,Agree,Agree,76.56,Strongly Disagree,Disagree,Disagree,Disagree,Don't Know,Agree,Agree,Agree,Agree
2016,10,Arizona,Female,50-59,,,,,,1,1,3,Clinton,51.84,4,4,Disagree,Disagree,Disagree,75,Disagree,Disagree,Don't Know,Agree,49.38,Don't Know,Agree,Disagree,23.33,Agree,Agree,Don't Know,38.75,Don't Know,Agree,Disagree,Disagree,69.25,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree Nor Disagree,45,Neither Agree Nor Disagree,Disagree,Don't Know,Agree,Don't Know,42,Agree,Don't Know,Neither Agree Nor Disagree,Disagree,Strongly Agree,Don't Know,Don't Know,Disagree,55,Don't Know,Disagree,Agree,Not Applicable,Don't Know,61.5,,,,,59.69,Don't Know,Disagree,Don't Know,Disagree,40.94,Disagree,Agree,Strongly Agree,Don't Know,Disagree,Agree,Agree,Disagree,Disagree
